,PINK SALMON,CHUM SALMON,SOCKEYE SALMON,CHINOOK SALMON,EULACHON,WALLEYE POLLOCK,THREESPINE STICKLEBACK,PRICKLEBACKS,SNAKE PRICKLEBACK,PACIFIC SAND LANCE,KELP GREENLING,LINGCOD,PACIFIC LAMPREY (freshwater),PACIFIC HERRING,Amphipod,Barnacle,Calanoid,Cladoceran,Ctenophore,decapod,eggs,euphasiid,fish,insects,isopod,ostracod,polychaete,Sagittoid,trematode,tunicates,Unknown,cumacean,Miscellaneous,mollusc,mysiid,Nematode,cestoda,Pycnogonida,phytoplankton
PINK SALMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0.06,2.74,0,0,1.05,0.09,0.25,30.52,0.9,0,0.03,0.09,0.04,0,2.73,0,0,0,0,0,0,0,0,0
CHUM SALMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.17,5.26,0.67,0.18,0.37,0.1,0.17,13.67,1.72,0,0.02,0.29,0.04,0,3.61,0,0.01,0,0,0.59,0.01,0,0,0
SOCKEYE SALMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.01,17.51,0.17,0,0.22,0,0.61,10.14,1.94,0.01,0.06,0.1,1.06,0,0.94,0,0,0,0,0,0,0,0,0
CHINOOK SALMON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,7.7,0,0,1.35,0,0.92,108.87,2.86,0,0,0,0,0,0.31,0,0,0.02,0.07,0,0,0,0.01,0
EULACHON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLEYE POLLOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREESPINE STICKLEBACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0,3.81,0,0,0.04,0,0.11,0.09,0.13,0,0,0.02,0.09,0,1.05,0,0,0,0,0,0.02,0.02,0,0
PRICKLEBACKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNAKE PRICKLEBACK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACIFIC SAND LANCE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,0.09,0,0.03,0.87,0.01,0.62,0,0,0,0.1,0,0,1.52,0,0,0,0,0,0,0,0,0
KELP GREENLING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,1.23,0.01,0,0.01,0.04,0.01,0.09,0,0.02,0.01,0,0,0,0.13,0,0,0,0,0,0.04,0,0,0
LINGCOD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0.19,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACIFIC LAMPREY (freshwater),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACIFIC HERRING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79,0.03,56.71,0.97,0,2.89,8.05,4.85,5.13,0.04,0,0.07,0.13,0,0.02,1.68,0,0.01,0,0,0.01,0.02,0,0,0
Amphipod,1.57,0.55,0.7,0.23,0,0,0.34,0,0,0,0.03,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnacle,0.06,0.17,0.01,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calanoid,2.74,5.26,17.51,7.7,0.21,0.65,3.81,0.27,0.16,2.92,1.23,1.43,0.3,56.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cladoceran,0,0.67,0.17,0,0,0,0,0,0,0.09,0.01,0,0.01,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ctenophore,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decapod,1.05,0.37,0.22,1.35,0.01,0,0.04,0,0,0.03,0.01,0,0,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eggs,0.09,0.1,0,0,0.01,0.38,0,0.11,0.04,0.87,0.04,0.19,0.03,8.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
euphasiid,0.25,0.17,0.61,0.92,0,0,0.11,0,0,0.01,0.01,0,0,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fish,30.52,13.67,10.14,108.87,0,0,0.09,0,0,0.62,0.09,0.25,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
insects,0.9,1.72,1.94,2.86,0,0,0.13,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isopod,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ostracod,0.03,0.02,0.06,0,0,0,0,0,0,0,0.01,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
polychaete,0.09,0.29,0.1,0,0,0,0.02,0,0,0.1,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagittoid,0.04,0.04,1.06,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trematode,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tunicates,2.73,3.61,0.94,0.31,0,0,1.05,0,0,1.52,0.13,0,0,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
